ID,Yeast_Name,Gen,Parent_ID
617,YT2 OUT 242 | 243 | 244 | 245,17,611
618,WLP5954 Pyramid Ale Pitchable,0,
620,YT1 OUT 251 | 252,17,615
622,AA7 HEF 253 | 254,13,616
623,YPT1 PROP (House Ale) 255A,1,618
624,YT1 OUT 251 | 252,17,615
625,U15 PROP (House Ale) 255A | THIPA 258,2,618
625,U15 PROP (House Ale) 255A | THIPA 258,2,623
626,AA7 HEF 254,13,616
627,YT2 OUT 256 | 257,18,620
629,YT1 OUT 260 | 261,18,624
